Statement,ID,Origin,Validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_gunning_fog,True_text_standard,Characters,Words,Word_Length,Number_Count,Positive_Sentiment,Neutral_Sentiment,Negative_Sentiment,Positive_Stance,Negative_Stance,Neutral_Stance
"A need for mechanical ventilation occurred in 31% of the anakinra-treated group and 75% of the control
group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated
group compared with 27% of the control group.",1012,Journal,TRUE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,11.81,12th and 13th grade,243,38,5.473684211,8,0.1953,0.7719,0.0328,0.787685931,0.087757349,0.124556758
"Many people who are infected with the virus do not present with any clinical symptoms; current
estimates suggest around 30% of individuals who have SARS-CoV-2 antibodies in their blood are
asymptomatic. Those individuals carry the virus and potentially spread it to others, who may react with
severe COVID-19 disease.",1021,Journal,TRUE,46.61,0,12.8,13.93,16.7,11.62,14,16.25,15.51,16th and 17th grade,317,49,5.551020408,5,0.0135,0.3506,0.6359,0.672363281,0.069773905,0.257862836
"The findings support global recommendations to prioritize COVID-19 vaccine allocation for older age
groups. Relative differences between allocation strategies were reduced as the speed of vaccine rollout
was increased.",1022,Journal,TRUE,22.92,0,13.7,19.54,16.7,13.61,14,10.25,12.7,13th and 14th grade,218,29,6.620689655,2,0.143,0.8259,0.0311,0.716154337,0.095786259,0.188059315
"Down Syndrome, which is caused by trisomy 21, is characterized by immune dysregulation, anatomical
differences in the upper respiratory tract and more sever COVID-19 infections.",1029,Journal,TRUE,20.72,0,16.6,17.35,19.9,14.35,10,18.5,19.6,19th and 20th grade,177,25,6.16,4,0.0095,0.159,0.8315,0.717568994,0.061817396,0.220613658
"The presence of terpenoids, flavonoids and the rich amounts of phenolic compounds, which
have anti-inflammatory effects and also up regulation of the immune system, are among major
agents that can help in recovery of patients with COVID19.",1033,Journal,TRUE,33.92,0,17.7,14.34,22.9,12.3,12,22.5,19.12,22nd and 23rd grade,239,37,5.540540541,2,0.5304,0.4525,0.0172,0.662932038,0.078495063,0.258572936
"Dietary supplements and vitamins including vitamin D and high-dose vitamin
C have also been used for COVID-19 treatment. Despite an expected excellent tolerance and an
interesting rationale to support their anti-COVID-19 activities, their preventive or therapeutic
effectiveness has not been confirmed in randomized trials.",1036,Journal,TRUE,15.31,0,16.6,18.68,19.5,13.7,20,19,20.62,18th and 19th grade,323,44,6.431818182,4,0.1509,0.7754,0.0738,0.680871427,0.153557047,0.165571481
"We addressed the infectability of the central nervous system. Early reports from Wuhan
suggested that 36% of COVID-19 patients show neurological symptoms, later European studies
showed as much as 60%; cases of viral encephalitis have been reported.",1041,Journal,TRUE,44.24,0,11.7,14.85,14.8,14.37,17,12.25,13.89,14th and 15th grade,248,37,5.783783784,6,0.029,0.7214,0.2496,0.667154908,0.082881853,0.249963284
"Recent improvements in mRNA vaccines act to increase protein translation, modulate
innate and adaptive immunogenicity, and improve delivery. mRNA vaccines are a new type of
vaccine to protect against infectious diseases and were the first COVID-19 vaccines authorized
worldwide.",1042,Journal,TRUE,34.76,0,13.3,17.69,17.3,12.7,17,13.25,14.98,12th and 13th grade,278,39,6.230769231,2,0.6553,0.3361,0.0086,0.628117144,0.062362801,0.309520036
"We noticed minor influence of age on ICU admissions. This is probably because in the first wave
of COVID-19 in Spain, a considerable number of elderlies died in nursing homes before they
could even be hospitalized or admitted to ICU.",1043,Journal,TRUE,51.18,0,11.1,10.27,11.4,10.55,10,13.5,15,10th and 11th grade,233,40,4.9,2,0.02,0.5114,0.4686,0.674980819,0.128608942,0.196410269
"Local and systemic reactions after a third Pfizer vaccine, reported by the immunocompromised and
seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue,
myalgia, and fever were the most frequent systemic side effects reported (19.6%, 9.2%, and 8.1%
respectively).",1061,Journal,TRUE,40.04,13,11.2,16,15.1,13.16,18,10.16666667,11.3,10th and 11th grade,310,43,6.302325581,7,0.0207,0.5038,0.4755,0.671109617,0.064811952,0.264078408
