Stance,Sentiment,Readability,Metric,TP,FP,TN,FN,percision,recall,f1_score,accuracy,roc_auc,false_alarm_rate,dataset
FALSE,FALSE,FALSE,FALSE,105,46,116,57,0.695364238,0.648148148,0.670926518,0.682098765,0.750400091,0.283950617,human
FALSE,FALSE,FALSE,FALSE,117,43,119,45,0.73125,0.722222222,0.726708075,0.728395062,0.8021262,0.265432099,gpt
FALSE,FALSE,FALSE,FALSE,124,42,120,38,0.746987952,0.765432099,0.756097561,0.75308642,0.811785551,0.259259259,gemini
FALSE,FALSE,FALSE,TRUE,100,42,120,62,0.704225352,0.617283951,0.657894737,0.679012346,0.720583752,0.259259259,human
FALSE,FALSE,FALSE,TRUE,117,43,119,45,0.73125,0.722222222,0.726708075,0.728395062,0.805003048,0.265432099,gpt
FALSE,FALSE,FALSE,TRUE,119,35,127,43,0.772727273,0.734567901,0.753164557,0.759259259,0.820701875,0.216049383,gemini
FALSE,FALSE,TRUE,FALSE,107,45,117,55,0.703947368,0.660493827,0.681528662,0.691358025,0.746361073,0.277777778,human
FALSE,FALSE,TRUE,FALSE,121,52,110,41,0.699421965,0.74691358,0.72238806,0.712962963,0.785284255,0.320987654,gpt
FALSE,FALSE,TRUE,FALSE,115,48,114,47,0.705521472,0.709876543,0.707692308,0.706790123,0.767242036,0.296296296,gemini
FALSE,FALSE,TRUE,TRUE,120,34,128,42,0.779220779,0.740740741,0.759493671,0.765432099,0.828094041,0.209876543,human
FALSE,FALSE,TRUE,TRUE,133,28,134,29,0.826086957,0.820987654,0.823529412,0.824074074,0.896928822,0.172839506,gpt
FALSE,FALSE,TRUE,TRUE,134,19,143,28,0.875816993,0.827160494,0.850793651,0.854938272,0.913046792,0.117283951,gemini
FALSE,TRUE,FALSE,FALSE,105,46,116,57,0.695364238,0.648148148,0.670926518,0.682098765,0.749942844,0.283950617,human
FALSE,TRUE,FALSE,FALSE,117,43,119,45,0.73125,0.722222222,0.726708075,0.728395062,0.800068587,0.265432099,gpt
FALSE,TRUE,FALSE,FALSE,123,42,120,39,0.745454545,0.759259259,0.752293578,0.75,0.810737692,0.259259259,gemini
FALSE,TRUE,FALSE,TRUE,100,42,120,62,0.704225352,0.617283951,0.657894737,0.679012346,0.72654702,0.259259259,human
FALSE,TRUE,FALSE,TRUE,119,43,119,43,0.734567901,0.734567901,0.734567901,0.734567901,0.806908246,0.265432099,gpt
FALSE,TRUE,FALSE,TRUE,119,35,127,43,0.772727273,0.734567901,0.753164557,0.759259259,0.821883097,0.216049383,gemini
FALSE,TRUE,TRUE,FALSE,108,46,116,54,0.701298701,0.666666667,0.683544304,0.691358025,0.74430346,0.283950617,human
FALSE,TRUE,TRUE,FALSE,121,52,110,41,0.699421965,0.74691358,0.72238806,0.712962963,0.782597927,0.320987654,gpt
FALSE,TRUE,TRUE,FALSE,116,48,114,46,0.707317073,0.716049383,0.711656442,0.709876543,0.777777778,0.296296296,gemini
FALSE,TRUE,TRUE,TRUE,126,28,134,36,0.818181818,0.777777778,0.797468354,0.802469136,0.846441091,0.172839506,human
FALSE,TRUE,TRUE,TRUE,138,30,132,24,0.821428571,0.851851852,0.836363636,0.833333333,0.905330742,0.185185185,gpt
FALSE,TRUE,TRUE,TRUE,134,18,144,28,0.881578947,0.827160494,0.853503185,0.858024691,0.913046792,0.111111111,gemini
TRUE,FALSE,FALSE,FALSE,105,50,112,57,0.677419355,0.648148148,0.662460568,0.669753086,0.74594193,0.308641975,human
TRUE,FALSE,FALSE,FALSE,117,44,118,45,0.726708075,0.722222222,0.724458204,0.725308642,0.808241884,0.271604938,gpt
TRUE,FALSE,FALSE,FALSE,123,40,122,39,0.754601227,0.759259259,0.756923077,0.75617284,0.816396129,0.24691358,gemini
TRUE,FALSE,FALSE,TRUE,103,44,118,59,0.700680272,0.635802469,0.666666667,0.682098765,0.730909922,0.271604938,human
TRUE,FALSE,FALSE,TRUE,122,41,121,40,0.748466258,0.75308642,0.750769231,0.75,0.826512727,0.25308642,gpt
TRUE,FALSE,FALSE,TRUE,126,39,123,36,0.763636364,0.777777778,0.770642202,0.768518519,0.840020576,0.240740741,gemini
TRUE,FALSE,TRUE,FALSE,107,51,111,55,0.67721519,0.660493827,0.66875,0.672839506,0.739388051,0.314814815,human
TRUE,FALSE,TRUE,FALSE,123,54,108,39,0.694915254,0.759259259,0.725663717,0.712962963,0.790809328,0.333333333,gpt
TRUE,FALSE,TRUE,FALSE,116,47,115,46,0.711656442,0.716049383,0.713846154,0.712962963,0.779949703,0.290123457,gemini
TRUE,FALSE,TRUE,TRUE,123,32,130,39,0.793548387,0.759259259,0.776025237,0.780864198,0.8402492,0.197530864,human
TRUE,FALSE,TRUE,TRUE,138,26,136,24,0.841463415,0.851851852,0.846625767,0.845679012,0.907274044,0.160493827,gpt
